Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
10,"110, 155, 205, 210, 215, 234, 306, 311, 330, 510",1,00447 006F23945
10,"110, 155, 205, 215, 220, 234, 306, 311, 331, 510",1,01081 140 00139
9,"110, 155, 205, 215, 220, 234, 311, 331, 510",1,00612 032 01857
8,"110, 155, 205, 215, 234, 302, 311, 331",1,02133 002F10475
9,"110, 155, 205, 215, 234, 306, 311, 330, 510",1,00921 02W 07725
7,"110, 155, 205, 215, 306, 311, 331",1,01691 027 00671
6,"110, 155, 205, 215, 331, 510",1,01690 027 00467
9,"110, 205, 210, 215, 220, 306, 330, 331, 510",1,02233A005 08517
8,"110, 155, 205, 234, 330, 331, 510, 515",1,07751 067 00533
10,"110, 155, 210, 215, 220, 311, 313, 330, 510, 515",1,39C635624000047
10,"110, 155, 215, 228, 234, 306, 313, 330, 510, 515",1,04T02 000 00112
11,"110, 161, 205, 215, 234, 302, 306, 330, 331, 510, 515",1,02062A002 04014
9,"110, 161, 205, 215, 234, 306, 330, 510, 515",1,07626A292 00019
8,"110, 202, 216, 235, 306, 330, 510, 515",1,03505A007 10423
10,"110, 205, 206, 215, 216, 235, 306, 330, 510, 515",1,01637A002 19346
7,"109, 205, 215, 234, 310, 332, 510",1,16C02 579000548
8,"109, 205, 215, 234, 306, 310, 331, 510",1,22571 000 00040
7,"109, 205, 215, 234, 306, 310, 331",1,16926 01E 00440
7,"104, 215, 225, 310, 330, 510, 515",1,12050A90101 001
5,"104, 205, 215, 300, 331",1,13514F002 00694
6,"104, 205, 215, 306, 314, 331",1,19732 000 00001
5,"104, 210, 215, 302, 314",1,13523 064 02057
7,"104, 210, 215, 302, 314, 330, 515",1,13522 064 02062
7,"104, 210, 215, 306, 310, 331, 510",1,12553A002600308
2,"104, 215",1,09522B028 00174
5,"104, 215, 220, 310, 510",1,20885 000 00000
10,"104, 215, 226, 234, 306, 310, 330, 331, 510, 515",1,11366A915 00288
8,"104, 205, 215, 234, 310, 330, 510, 515",1,18760 301200003
7,"104, 215, 227, 306, 310, 331, 510",1,20437 058900004
8,"104, 215, 300, 302, 314, 330, 510, 515",1,17325 004 13545
5,"104, 215, 300, 310, 331",1,21816002BM_0169
5,"104, 215, 300, 314, 331",1,18153 002 08213
9,"104, 215, 301, 302, 312, 330, 331, 510, 515",1,13537 064 01811
5,"104, 215, 301, 330, 510",1,17281 004 14345
6,"104, 215, 302, 306, 330, 515",1,16673 009 02523
6,"104, 205, 215, 234, 311, 330",1,09704 064 00864
5,"104, 205, 215, 234, 310",1,09634 006 26421
4,"104, 215, 302, 331",1,17213 002 01522
8,"104, 205, 215, 234, 302, 310, 330, 521",1,09802 006 29165
9,"104, 205, 215, 234, 300, 301, 311, 331, 521",1,20482 006 34291
10,"104, 205, 215, 234, 300, 306, 312, 314, 330, 515",1,13533 064 01862
8,"104, 205, 215, 234, 300, 314, 330, 515",1,05150A090600009
7,"104, 205, 215, 234, 300, 314, 331",1,17118 064C01432
7,"104, 205, 215, 234, 300, 330, 515",1,17365 002 01597
9,"104, 205, 215, 234, 302, 306, 310, 331, 510",1,07030B000000015
7,"104, 205, 215, 234, 302, 310, 330",1,09803 006 29567
7,"104, 205, 215, 234, 302, 310, 331",1,04668 000400668
7,"104, 205, 215, 234, 306, 330, 521",1,13584 006C27864
7,"104, 205, 215, 234, 302, 311, 330",1,09724 064 00828
8,"104, 205, 215, 234, 302, 311, 331, 521",1,09281 061 00220
5,"104, 205, 215, 234, 305",1,13541B000 00001
9,"104, 205, 215, 234, 306, 310, 330, 510, 515",1,07726A001C29342
8,"104, 205, 215, 234, 306, 310, 331, 510",1,01741B009 17875
7,"104, 205, 215, 234, 306, 312, 330",1,07727A001 29181
6,"104, 205, 215, 234, 306, 330",1,09780 006 28053
5,"104, 215, 302, 310, 331",1,20052 041 06585
8,"104, 215, 306, 310, 330, 331, 510, 515",1,14445 000 00140
9,"109, 205, 215, 234, 306, 310, 330, 510, 515",1,06521A000 00117
10,"109, 110, 205, 210, 215, 234, 302, 306, 310, 330",1,08431A066 00012
11,"107, 110, 205, 215, 228, 234, 306, 311, 313, 331, 515",1,13668A303400010
12,"107, 205, 215, 225, 231, 234, 306, 310, 330, 332, 510, 515",1,11767F000
7,"107, 215, 220, 306, 311, 313, 515",1,10995 069300000
8,"107, 215, 306, 311, 313, 330, 510, 515",1,10891 069300000
5,"107, 215, 310, 330, 515",1,22140 000 00000
7,"107, 215, 311, 313, 330, 510, 515",1,59C195118100001
12,"109, 110, 116, 155, 205, 215, 225, 306, 311, 330, 510, 515",1,01996 010 02062
12,"109, 110, 205, 215, 225, 234, 306, 310, 311, 331, 510, 515",1,01185A003 00400
7,"105, 210, 215, 234, 306, 310, 510",1,09630 006 26031
9,"109, 113, 152, 215, 226, 234, 310, 330, 515",1,41C14 55101 001
8,"109, 144, 215, 306, 311, 313, 330, 510",1,08111 072 00623
12,"109, 147, 154, 205, 215, 220, 227, 234, 303, 331, 510, 515",1,22258 000 00000
11,"109, 204, 215, 220, 226, 234, 306, 310, 330, 510, 515",1,14449A000
10,"109, 204, 215, 220, 226, 234, 306, 310, 331, 510",1,14555 000
11,"109, 205, 215, 234, 302, 306, 310, 330, 331, 510, 515",1,25B69 000 00000
8,"109, 205, 215, 234, 302, 306, 330, 510",1,49012 000000000
3,"105, 215, 331",1,18154 002 08208
8,"105, 210, 215, 234, 306, 310, 331, 510",1,09630A006 26030
6,"104, 215, 306, 310, 330, 510",1,22642 000 00000
6,"105, 144, 215, 300, 314, 331",1,18211 004 11264
5,"104, 215, 306, 310, 331",1,21937 000 00000
6,"104, 215, 306, 311, 331, 510",1,17368 047C07219
5,"104, 215, 310, 330, 515",1,39C237247300017
8,"104, 219, 225, 231, 306, 313, 330, 515",1,23949 657 00008
4,"104, 310, 331, 510",1,24052 000 00000
10,"105, 110, 205, 215, 220, 234, 302, 311, 331, 510",1,04623A300 01495
11,"105, 110, 205, 215, 234, 302, 311, 330, 331, 510, 515",1,08343 050X00667
10,"105, 205, 215, 234, 306, 310, 330, 331, 510, 515",1,09516 006 30653
9,"105, 210, 215, 234, 302, 306, 310, 330, 331",1,02471B002C06428
9,"105, 205, 215, 234, 306, 311, 330, 510, 515",1,09314 054 01256
8,"105, 205, 215, 234, 306, 311, 331, 510",1,08431 066 00026
8,"105, 205, 215, 234, 311, 330, 515, 521",1,09636 067 00041
5,"105, 205, 215, 234, 330",1,09394 006C34042
8,"105, 205, 215, 234, 330, 510, 515, 521",1,09649 006 22405
6,"105, 205, 215, 234, 331, 510",1,08526 004 00064
7,"105, 205, 215, 306, 311, 331, 510",1,08575Q001 30233
12,"16, 110, 216, 219, 225, 228, 231, 306, 310, 330, 510, 515",1,12799 065400027
9,"16, 110, 205, 215, 220, 306, 311, 510, 515",1,02625A191 03072
14,"16, 110, 216, 219, 225, 228, 231, 235, 306, 310, 330, 331, 510, 515",1,04966A140 00959
13,"12, 107, 205, 215, 220, 234, 306, 311, 313, 330, 331, 510, 515",1,19C480   1 3499
8,"12, 107, 202, 215, 301, 311, 330, 515",1,09422 006 18724
9,"12, 107, 202, 215, 302, 311, 330, 515, 521",1,09540 006C18040
8,"12, 107, 202, 215, 311, 330, 510, 515",1,09640 006 17113
11,"12, 107, 202, 219, 220, 306, 311, 313, 330, 510, 515",1,29C178820 00003
15,"12, 107, 205, 210, 215, 220, 225, 234, 306, 310, 311, 313, 330, 510, 515",1,19C245  38  285
9,"12, 107, 205, 210, 215, 234, 300, 331, 515",1,20080 006 18843
12,"12, 107, 205, 210, 215, 234, 302, 311, 313, 330, 510, 515",1,19C334001100267
10,"12, 107, 205, 210, 215, 234, 311, 313, 331, 515",1,08589Y614 00000
14,"12, 107, 205, 215, 220, 225, 234, 306, 310, 311, 313, 330, 510, 515",1,19C191  47  446
13,"12, 107, 205, 215, 220, 225, 234, 306, 310, 311, 330, 510, 515",1,19C072002200567
12,"12, 107, 205, 215, 220, 225, 234, 306, 313, 330, 510, 515",1,19C043  18 1071
11,"12, 107, 205, 215, 220, 225, 234, 306, 330, 510, 515",1,19C237000602428
16,"12, 107, 205, 215, 220, 234, 300, 302, 306, 311, 313, 314, 330, 510, 515, 521",1,02737 073 03874
11,"12, 107, 205, 215, 220, 234, 300, 306, 310, 331, 515",1,19267 025 02940
11,"12, 107, 205, 215, 220, 234, 300, 306, 311, 330, 515",1,26T10 000000000
12,"12, 107, 205, 215, 220, 234, 301, 311, 313, 330, 510, 515",1,19C143 200 1647
13,"12, 107, 205, 215, 220, 234, 302, 304, 310, 311, 313, 331, 515",1,01509A072900004
10,"12, 107, 205, 215, 220, 234, 303, 310, 331, 515",1,19142 001 10154
11,"12, 107, 205, 215, 220, 234, 303, 310, 331, 515, 521",1,19143 001 10154
12,"12, 107, 202, 215, 228, 231, 306, 311, 313, 330, 510, 515",1,19C211004300141
10,"12, 107, 202, 215, 225, 231, 306, 330, 510, 515",1,19C050006200002
8,"12, 107, 202, 215, 220, 330, 510, 515",1,12C21 003 01940
10,"12, 107, 161, 205, 215, 234, 310, 313, 331, 515",1,08676B001C02758
11,"12, 107, 155, 205, 215, 220, 234, 330, 510, 515, 521",1,06072 220 00020
13,"12, 107, 161, 202, 205, 215, 217, 231, 302, 313, 330, 515, 521",1,02164 047 02423
11,"12, 107, 161, 202, 205, 215, 231, 306, 313, 510, 515",1,02311 009 03953
14,"12, 107, 161, 205, 210, 215, 220, 234, 302, 306, 311, 313, 330, 515",1,02287A072100480
13,"12, 107, 161, 205, 210, 215, 234, 302, 311, 313, 331, 510, 515",1,09382 002 04131
11,"12, 107, 161, 205, 215, 231, 302, 311, 331, 510, 515",1,09377 002 04196
13,"12, 107, 161, 205, 215, 234, 301, 302, 311, 313, 331, 510, 515",1,02063 002 04155
12,"12, 107, 161, 205, 215, 234, 302, 311, 313, 331, 515, 521",1,09282 061 00214
11,"12, 107, 161, 205, 215, 306, 311, 313, 330, 510, 515",1,12056 80704 676
11,"12, 107, 202, 210, 215, 231, 306, 310, 330, 510, 515",1,19C075002200876
9,"12, 107, 161, 205, 234, 311, 313, 331, 515",1,59C455057500002
11,"12, 107, 161, 210, 215, 220, 304, 313, 330, 510, 515",1,15C14 784 00537
12,"12, 107, 161, 210, 215, 302, 306, 311, 313, 330, 331, 515",1,09572 227 00063
12,"12, 107, 161, 210, 215, 302, 310, 313, 331, 510, 515, 521",1,09694 004 27713
9,"12, 107, 202, 205, 215, 301, 311, 331, 515",1,09743C001C28848
9,"12, 107, 202, 205, 215, 302, 311, 330, 515",1,07586A001 28898
9,"12, 107, 202, 205, 215, 311, 330, 510, 515",1,09541 333 01250
8,"12, 107, 202, 205, 215, 311, 330, 515",1,07575A001 28742
13,"12, 107, 205, 215, 220, 234, 306, 310, 311, 313, 330, 331, 515",1,19C035  18  076
11,"12, 107, 205, 215, 220, 234, 306, 311, 313, 331, 515",1,671388000901370
8,"12, 107, 152, 215, 301, 310, 331, 515",1,20338 026 05351
11,"12, 107, 205, 215, 220, 234, 306, 311, 330, 510, 515",1,19C360005700262
11,"12, 107, 205, 215, 234, 301, 306, 310, 314, 331, 515",1,20120 018 00808
10,"12, 107, 205, 215, 234, 301, 306, 310, 331, 515",1,20861 231 02210
12,"12, 107, 205, 215, 234, 301, 310, 311, 313, 331, 510, 515",1,08107W006 37792
10,"12, 107, 205, 215, 234, 301, 310, 330, 331, 515",1,20502 0001 3881
9,"12, 107, 205, 215, 234, 301, 310, 330, 515",1,23871 153 00588
11,"12, 107, 205, 215, 234, 301, 311, 313, 331, 510, 515",1,02758B932600000
9,"12, 107, 205, 215, 234, 301, 311, 313, 515",1,02757B000000000
9,"12, 107, 205, 215, 234, 301, 314, 331, 515",1,20584 045 03964
12,"12, 107, 205, 215, 234, 302, 310, 311, 313, 331, 515, 521",1,09635A006 26492
10,"12, 107, 205, 215, 234, 302, 310, 313, 331, 515",1,09125 006 34784
10,"12, 107, 205, 215, 234, 302, 314, 331, 515, 521",1,21358 001 01917
10,"12, 107, 205, 215, 234, 303, 310, 314, 331, 515",1,20651 001 00000
9,"12, 107, 205, 215, 234, 303, 310, 330, 515",1,19789 021 04386
9,"12, 107, 205, 215, 234, 305, 310, 331, 515",1,22688 483 04675
10,"12, 107, 205, 215, 234, 306, 310, 331, 510, 515",1,25B128000000000
9,"12, 107, 205, 215, 234, 306, 310, 331, 515",1,21716 333 01186
11,"12, 107, 205, 215, 234, 306, 311, 313, 331, 515, 521",1,09520 006 20790
11,"12, 107, 205, 215, 234, 310, 311, 313, 331, 515, 521",1,09520A006 20788
9,"12, 107, 205, 215, 234, 310, 331, 510, 515",1,19940 004 27473
10,"12, 107, 205, 215, 234, 301, 305, 311, 313, 515",1,02757A000000000
11,"12, 107, 205, 215, 234, 301, 303, 310, 311, 330, 515",1,22627 045 01643
14,"12, 107, 205, 215, 234, 301, 302, 310, 311, 313, 330, 331, 510, 515",1,01910 053 10524
10,"12, 107, 205, 215, 231, 302, 311, 330, 515, 521",1,09524 006 21206
10,"12, 107, 205, 215, 220, 234, 306, 330, 510, 515",1,19C183 115  172
12,"12, 107, 205, 215, 220, 234, 310, 311, 313, 331, 510, 515",1,08107E006 37792
10,"12, 107, 205, 215, 220, 234, 311, 330, 510, 515",1,19C048003400241
10,"12, 107, 205, 215, 220, 301, 310, 313, 330, 515",1,06466 045 00004
10,"12, 107, 205, 215, 220, 304, 311, 313, 330, 515",1,20999 000 00000
11,"12, 107, 205, 215, 225, 234, 306, 313, 330, 510, 515",1,19C107  71  068
11,"12, 107, 205, 215, 225, 306, 311, 313, 330, 510, 515",1,19C102006800006
10,"12, 107, 205, 215, 231, 301, 311, 330, 515, 521",1,09755 006C28364
10,"12, 107, 205, 215, 234, 300, 302, 310, 331, 515",1,09403C064C00910
9,"12, 107, 205, 215, 234, 300, 310, 331, 510",1,22259 000 00000
11,"12, 107, 205, 215, 234, 300, 302, 311, 313, 331, 515",1,09403A064 01140
12,"12, 107, 205, 215, 234, 300, 303, 306, 310, 331, 515, 521",1,19866 006 25618
11,"12, 107, 205, 215, 234, 300, 303, 310, 331, 515, 521",1,19865 006 25617
12,"12, 107, 205, 215, 234, 300, 306, 310, 311, 330, 331, 515",1,21453 000 00370
11,"12, 107, 205, 215, 234, 300, 306, 310, 331, 515, 521",1,17363 272 00614
11,"12, 107, 205, 215, 234, 300, 310, 313, 330, 510, 515",1,16753 501 03072
9,"12, 107, 205, 215, 234, 300, 310, 330, 515",1,21494 047C05723
8,"12, 107, 205, 215, 234, 300, 310, 331",1,23965 167 00072
9,"12, 107, 152, 217, 306, 311, 313, 330, 515",1,25B57 000
9,"12, 107, 152, 215, 225, 306, 331, 510, 515",1,19C344   5 1005
10,"12, 107, 205, 215, 234, 311, 313, 331, 515, 521",1,09635 006 26492
15,"12, 107, 111, 205, 219, 225, 228, 234, 235, 306, 311, 313, 331, 510, 515",1,02711 180 01181
11,"12, 107, 110, 205, 215, 234, 302, 306, 311, 313, 331",1,R8588E001 30150
13,"12, 107, 110, 205, 215, 234, 302, 306, 311, 313, 331, 510, 515",1,09017 026 10461
13,"12, 107, 110, 205, 215, 234, 302, 306, 311, 313, 331, 515, 521",1,08820 002 13791
12,"12, 107, 110, 205, 215, 234, 302, 311, 313, 330, 331, 515",1,19020 000 00010
12,"12, 107, 110, 205, 215, 234, 302, 311, 313, 330, 510, 515",1,08829 017 01841
11,"12, 107, 110, 205, 215, 234, 302, 311, 313, 331, 515",1,08588C002 00020
11,"12, 107, 110, 205, 215, 234, 311, 313, 331, 510, 515",1,06575 000 00012
9,"12, 107, 110, 205, 215, 311, 313, 331, 515",1,08437 001 29655
12,"12, 107, 110, 205, 228, 234, 306, 310, 330, 331, 510, 515",1,08884 002 16877
8,"12, 107, 110, 215, 306, 330, 510, 515",1,19C214003900456
17,"12, 107, 111, 113, 152, 205, 216, 220, 228, 234, 235, 306, 311, 313, 330, 510, 515",1,01991 102 02932
18,"12, 107, 111, 113, 152, 205, 219, 225, 228, 231, 234, 235, 306, 311, 313, 330, 510, 515",1,01726 120 00038
15,"12, 107, 111, 113, 152, 205, 219, 234, 235, 306, 311, 313, 330, 510, 515",1,01788 449 00046
15,"12, 107, 111, 202, 205, 206, 216, 219, 234, 306, 311, 313, 330, 510, 515",1,02861 415 00342
17,"12, 107, 111, 202, 205, 206, 216, 220, 231, 234, 235, 306, 311, 313, 330, 510, 515",1,02012 160 02691
16,"12, 107, 111, 202, 205, 215, 216, 220, 231, 234, 306, 311, 313, 332, 510, 515",1,01995 231 01236
13,"12, 107, 111, 205, 210, 216, 220, 306, 311, 313, 330, 510, 515",1,01963 102 01927
11,"12, 107, 111, 205, 215, 231, 234, 311, 332, 510, 515",1,01792 300 05167
17,"12, 107, 111, 205, 216, 225, 228, 231, 234, 302, 306, 311, 313, 330, 331, 510, 515",1,02322 058 01134
12,"12, 107, 110, 205, 215, 234, 301, 311, 313, 331, 515, 521",1,08044 006C24382
12,"12, 107, 110, 205, 215, 231, 234, 302, 311, 313, 331, 515",1,08589D001 30150
15,"12, 107, 110, 205, 215, 231, 234, 302, 306, 310, 311, 313, 331, 510, 515",1,08933 002 09604
12,"12, 107, 110, 161, 205, 215, 220, 234, 301, 310, 313, 515",1,08003 039 05157
12,"12, 107, 109, 205, 215, 234, 306, 310, 311, 313, 331, 515",1,08490 039 04563
12,"12, 107, 109, 205, 215, 234, 310, 311, 313, 331, 510, 515",1,08345 004 27371
12,"12, 107, 109, 210, 215, 301, 310, 311, 313, 331, 510, 515",1,39C229246000001
13,"12, 107, 109, 215, 226, 234, 306, 310, 311, 313, 331, 510, 515",1,19C500  48  017
7,"12, 107, 109, 215, 330, 510, 515",1,45C214056200553
19,"12, 107, 110, 113, 141, 152, 155, 205, 210, 215, 234, 300, 310, 311, 312, 313, 331, 510, 515",1,00357 003 01143
19,"12, 107, 110, 113, 152, 202, 205, 216, 225, 228, 231, 234, 235, 306, 311, 313, 330, 510, 515",1,06758 039Y04675
15,"12, 107, 110, 152, 215, 225, 228, 234, 235, 302, 306, 311, 313, 331, 515",1,01345C131 00749
14,"12, 107, 110, 161, 205, 215, 231, 234, 300, 302, 311, 313, 331, 515",1,08588A002 00024
12,"12, 107, 110, 205, 215, 225, 234, 306, 311, 331, 510, 515",1,19C501  48  101
16,"12, 107, 110, 161, 205, 215, 231, 234, 302, 306, 310, 311, 313, 331, 510, 515",1,08662 002 06341
15,"12, 107, 110, 161, 205, 215, 231, 234, 302, 311, 313, 331, 510, 515, 521",1,08775 002 08415
14,"12, 107, 110, 161, 205, 215, 231, 234, 311, 313, 330, 331, 510, 515",1,E6099C015 00009
13,"12, 107, 110, 161, 205, 215, 231, 234, 311, 313, 330, 510, 515",1,W6099C015 00009
13,"12, 107, 110, 161, 205, 215, 234, 301, 313, 330, 331, 510, 515",1,08320 039 02717
16,"12, 107, 110, 161, 205, 215, 234, 306, 310, 311, 312, 313, 314, 331, 510, 515",1,08881 875 00573
14,"12, 107, 110, 205, 210, 215, 231, 234, 302, 310, 311, 313, 331, 515",1,08589B001 30150
10,"12, 107, 110, 205, 215, 220, 311, 313, 330, 515",1,08481 015 01060
12,"12, 107, 111, 205, 219, 220, 234, 306, 311, 313, 510, 515",1,01856 201 00111
20,"12, 107, 113, 116, 120, 152, 162, 210, 220, 234, 301, 302, 304, 305, 311, 313, 330, 331, 510, 515",1,00511 000000000
9,"12, 107, 152, 205, 215, 310, 311, 330, 515",1,09722 047C06111
15,"12, 107, 113, 120, 152, 161, 205, 215, 220, 234, 302, 311, 313, 330, 515",1,06635Q004 00000
13,"12, 107, 113, 152, 202, 215, 300, 306, 311, 313, 330, 331, 515",1,06683B01WX00046
13,"12, 107, 113, 152, 202, 215, 303, 305, 306, 311, 313, 330, 515",1,09685 000 00223
15,"12, 107, 113, 152, 205, 215, 220, 234, 301, 306, 311, 313, 330, 510, 515",1,07017 162 04984
13,"12, 107, 113, 152, 205, 215, 220, 234, 302, 310, 311, 313, 515",1,09B03 000 00015
13,"12, 107, 113, 152, 205, 215, 220, 306, 311, 313, 330, 510, 515",1,02652 027 00706
11,"12, 107, 113, 152, 205, 215, 220, 311, 313, 330, 515",1,01868 037 00578
10,"12, 107, 113, 152, 205, 215, 304, 310, 331, 515",1,02444 002 06415
12,"12, 107, 113, 152, 205, 234, 300, 302, 311, 313, 331, 515",1,06767 026 00099
10,"12, 107, 113, 152, 210, 215, 306, 330, 510, 515",1,06506 010 00374
9,"12, 107, 113, 152, 215, 220, 330, 510, 515",1,06198 033 00017
8,"12, 107, 113, 152, 215, 330, 510, 515",1,06264 008 00153
13,"12, 107, 116, 152, 202, 215, 231, 301, 310, 314, 330, 331, 515",1,18856 609300000
12,"12, 107, 116, 155, 205, 220, 234, 304, 311, 313, 330, 515",1,47C200000000000
11,"12, 107, 117, 152, 210, 215, 304, 311, 313, 332, 515",1,07C022991500001
15,"12, 107, 120, 202, 205, 215, 220, 234, 302, 306, 311, 313, 330, 510, 515",1,19C200  47  183
11,"12, 107, 152, 161, 205, 215, 302, 303, 310, 330, 515",1,07803A001 27047
17,"12, 107, 152, 202, 205, 215, 231, 300, 301, 302, 306, 310, 313, 330, 331, 510, 515",1,21282 000 00000
11,"12, 107, 152, 205, 210, 215, 234, 310, 331, 510, 515",1,02444A002 06415
12,"12, 107, 152, 205, 215, 220, 234, 306, 311, 330, 510, 515",1,19C363  16 1430
15,"12, 107, 113, 152, 202, 205, 220, 300, 301, 306, 311, 313, 330, 510, 515",1,06757A609300000
11,"12, 107, 113, 152, 202, 205, 215, 306, 331, 510, 515",1,07040 01EX00020
16,"12, 107, 113, 152, 202, 205, 215, 220, 301, 303, 306, 311, 313, 330, 510, 515",1,07039 000 00437
15,"12, 107, 113, 152, 161, 202, 205, 210, 215, 227, 231, 310, 311, 313, 330",1,02046 02WC04892
18,"12, 107, 113, 120, 152, 162, 202, 205, 210, 220, 234, 301, 302, 304, 311, 313, 331, 515",1,07949E00900254
15,"12, 107, 113, 120, 152, 162, 202, 215, 220, 306, 311, 313, 330, 510, 515",1,51T102000000000
15,"12, 107, 113, 120, 152, 162, 205, 215, 234, 306, 311, 313, 330, 510, 515",1,08991 171 04488
14,"12, 107, 113, 120, 152, 162, 205, 215, 306, 311, 313, 330, 510, 515",1,51T104000000000
13,"12, 107, 113, 120, 152, 162, 205, 215, 306, 311, 313, 330, 515",1,02019 125 00185
13,"12, 107, 113, 120, 152, 162, 205, 234, 301, 311, 313, 331, 515",1,07949A009 00000
13,"12, 107, 113, 120, 152, 205, 215, 234, 300, 311, 313, 331, 515",1,00108B002 11455
15,"12, 107, 113, 152, 155, 205, 215, 220, 234, 311, 313, 314, 331, 515, 521",1,01463A007 26681
18,"12, 107, 113, 152, 161, 202, 205, 215, 231, 234, 300, 301, 306, 310, 311, 313, 330, 515",1,05789A005300000
14,"12, 107, 113, 152, 202, 205, 210, 215, 234, 300, 311, 313, 330, 515",1,06683A01WX00031
14,"12, 107, 113, 152, 161, 202, 215, 220, 231, 306, 313, 330, 510, 515",1,02380 058 00220
14,"12, 107, 113, 152, 161, 205, 210, 215, 220, 227, 234, 311, 313, 331",1,02230A070 00039
14,"12, 107, 113, 152, 161, 205, 215, 220, 234, 301, 311, 313, 510, 515",1,02081 030 00003
15,"12, 107, 113, 152, 161, 205, 215, 234, 301, 306, 310, 313, 330, 510, 515",1,02398 005 10560
13,"12, 107, 113, 152, 161, 205, 215, 234, 304, 311, 313, 330, 515",1,12911 091201280
14,"12, 107, 113, 152, 161, 205, 215, 302, 306, 311, 313, 330, 510, 515",1,01630A002 19903
13,"12, 107, 113, 152, 161, 205, 215, 306, 311, 313, 330, 510, 515",1,961A  13001 028
11,"12, 107, 113, 152, 161, 210, 215, 220, 311, 313, 330",1,00849A042X00043
10,"12, 107, 205, 215, 234, 311, 313, 331, 510, 515",1,00332C002 09985
7,"12, 107, 205, 215, 310, 330, 515",1,19B12 000000015
4,"16, 110, 215, 331",1,27C09 209 00001
9,"12, 109, 205, 215, 225, 234, 310, 331, 510",1,08684 661 00048
11,"12, 109, 205, 215, 220, 234, 300, 311, 313, 330, 515",1,17401 00000 000
13,"12, 109, 205, 215, 220, 234, 301, 302, 306, 310, 330, 331, 510",1,01173D009 16473
11,"12, 109, 205, 215, 220, 234, 301, 306, 310, 331, 510",1,02376B001 28951
13,"12, 109, 205, 215, 220, 234, 301, 310, 311, 313, 330, 331, 510",1,01000B455 02839
8,"12, 109, 205, 215, 220, 234, 301, 331",1,20179 001 18891
9,"12, 109, 205, 215, 220, 234, 301, 331, 521",1,20601 001 18891
9,"12, 109, 205, 215, 220, 234, 302, 310, 331",1,17971 016 04307
10,"12, 109, 205, 215, 220, 234, 303, 310, 314, 331",1,16443 070 00167
11,"12, 109, 205, 215, 220, 234, 303, 310, 314, 331, 510",1,16444 070 00165
13,"12, 109, 205, 215, 220, 234, 306, 310, 311, 330, 331, 515, 521",1,02054A01W 02420
10,"12, 109, 205, 215, 220, 234, 306, 310, 331, 510",1,14100A000
9,"12, 109, 205, 215, 220, 234, 306, 331, 521",1,01623 073 01623
